Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Registration_TestSuite,Chrome 149.0.7827.103,,,18-06-2026 09:26:30,18-06-2026 09:27:47,1m - 17.141s,PASSED
,,,,,,,
Test Cases/WEB/Registration/Register with duplicate Account,Chrome 149.0.7827.103,,,18-06-2026 09:26:30,18-06-2026 09:26:48,17.665s,PASSED
"openBrowser("""")",Chrome 149.0.7827.103,,,18-06-2026 09:26:30,18-06-2026 09:26:33,2.304s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Chrome 149.0.7827.103,,,18-06-2026 09:26:33,18-06-2026 09:26:33,0.109s,PASSED
navigateToUrl(URL),Chrome 149.0.7827.103,,,18-06-2026 09:26:33,18-06-2026 09:26:36,3.104s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Chrome 149.0.7827.103,,,18-06-2026 09:26:36,18-06-2026 09:26:36,0.345s,PASSED
"click(findTestObject(""WEB/Registration/icon-acount""))",Chrome 149.0.7827.103,,,18-06-2026 09:26:36,18-06-2026 09:26:37,0.355s,PASSED
custom.BrowserHelper.closeFirefoxPopup(),Chrome 149.0.7827.103,,,18-06-2026 09:26:37,18-06-2026 09:26:39,2.376s,PASSED
"click(findTestObject(""WEB/Registration/btn-create-new-account""))",Chrome 149.0.7827.103,,,18-06-2026 09:26:39,18-06-2026 09:26:39,0.338s,PASSED
"setText(findTestObject(""WEB/Registration/field-Email""), ""agungpriyadi@gmail.com"")",Chrome 149.0.7827.103,,,18-06-2026 09:26:39,18-06-2026 09:26:40,1.212s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi"")",Chrome 149.0.7827.103,,,18-06-2026 09:26:40,18-06-2026 09:26:41,0.856s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar123456"")",Chrome 149.0.7827.103,,,18-06-2026 09:26:41,18-06-2026 09:26:42,0.806s,PASSED
"click(findTestObject(""WEB/Registration/btn-sign-up""))",Chrome 149.0.7827.103,,,18-06-2026 09:26:42,18-06-2026 09:26:43,0.521s,PASSED
delay(2),Chrome 149.0.7827.103,,,18-06-2026 09:26:43,18-06-2026 09:26:45,2.017s,PASSED
"isDuplicateShown = verifyTextPresent(""Duplicated-unknown-error."", false, OPTIONAL)",Chrome 149.0.7827.103,,,18-06-2026 09:26:45,18-06-2026 09:26:45,0.310s,PASSED
if (!(isDuplicateShown)),Chrome 149.0.7827.103,,,18-06-2026 09:26:45,18-06-2026 09:26:45,0.002s,PASSED
closeBrowser(),Chrome 149.0.7827.103,,,18-06-2026 09:26:45,18-06-2026 09:26:45,0.465s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.103,,,18-06-2026 09:26:45,18-06-2026 09:26:46,0.152s,FAILED
,,,,,,,
Test Cases/WEB/Registration/Register with duplicate Email,Chrome 149.0.7827.103,,,18-06-2026 09:26:48,18-06-2026 09:27:04,16.547s,PASSED
"openBrowser("""")",Chrome 149.0.7827.103,,,18-06-2026 09:26:48,18-06-2026 09:26:49,1.439s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Chrome 149.0.7827.103,,,18-06-2026 09:26:49,18-06-2026 09:26:49,0.112s,PASSED
navigateToUrl(URL),Chrome 149.0.7827.103,,,18-06-2026 09:26:49,18-06-2026 09:26:51,2.029s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Chrome 149.0.7827.103,,,18-06-2026 09:26:51,18-06-2026 09:26:52,0.331s,PASSED
"click(findTestObject(""WEB/Registration/icon-acount""))",Chrome 149.0.7827.103,,,18-06-2026 09:26:52,18-06-2026 09:26:53,0.826s,PASSED
custom.BrowserHelper.closeFirefoxPopup(),Chrome 149.0.7827.103,,,18-06-2026 09:26:53,18-06-2026 09:26:55,2.356s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/btn-create-new-account""), 10)",Chrome 149.0.7827.103,,,18-06-2026 09:26:55,18-06-2026 09:26:55,0.317s,PASSED
