Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GuestUser_TestSuite,Firefox 151.0.1,,,01-07-2026 10:58:30,01-07-2026 11:00:30,1m - 59.775s,PASSED
,,,,,,,
Test Cases/WEB/Guest User/Ensure Continue button remains disabled when Verification Code field is empty,Firefox 151.0.1,,,01-07-2026 10:58:30,01-07-2026 10:58:46,16.150s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,01-07-2026 10:58:31,01-07-2026 10:58:36,5.360s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,01-07-2026 10:58:36,01-07-2026 10:58:36,0.504s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,01-07-2026 10:58:36,01-07-2026 10:58:39,2.540s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,01-07-2026 10:58:39,01-07-2026 10:58:39,0.091s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,01-07-2026 10:58:39,01-07-2026 10:58:39,0.130s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,01-07-2026 10:58:39,01-07-2026 10:58:40,0.592s,PASSED
"waitForElementClickable(findTestObject(""WEB/Checkout/Track Order/track your order""), 30)",Firefox 151.0.1,,,01-07-2026 10:58:40,01-07-2026 10:58:40,0.290s,PASSED
"enhancedClick(findTestObject(""WEB/Checkout/Track Order/track your order""))",Firefox 151.0.1,,,01-07-2026 10:58:40,01-07-2026 10:58:40,0.380s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,01-07-2026 10:58:40,01-07-2026 10:58:40,0.010s,PASSED
"waitForElementVisible(findTestObject(""WEB/Guest User/Track Your Order/txtField_Email""), 30)",Firefox 151.0.1,,,01-07-2026 10:58:40,01-07-2026 10:58:41,0.554s,PASSED
"setText(findTestObject(""WEB/Guest User/Track Your Order/txtField_Email""), ""agung.priyadi@gtech.digital"")",Firefox 151.0.1,,,01-07-2026 10:58:41,01-07-2026 10:58:42,0.552s,PASSED
"waitForElementClickable(findTestObject(""WEB/Guest User/Track Your Order/btn_Send""), 30)",Firefox 151.0.1,,,01-07-2026 10:58:42,01-07-2026 10:58:42,0.450s,PASSED
"enhancedClick(findTestObject(""WEB/Guest User/Track Your Order/btn_Send""))",Firefox 151.0.1,,,01-07-2026 10:58:42,01-07-2026 10:58:42,0.309s,PASSED
"waitForElementVisible(findTestObject(""WEB/Guest User/Track Your Order/txtField_Verification Code""), 30)",Firefox 151.0.1,,,01-07-2026 10:58:42,01-07-2026 10:58:43,0.628s,PASSED
"setText(findTestObject(""WEB/Guest User/Track Your Order/txtField_Verification Code""), """")",Firefox 151.0.1,,,01-07-2026 10:58:43,01-07-2026 10:58:43,0.502s,PASSED
"waitForElementVisible(findTestObject(""WEB/Guest User/Track Your Order/txtField_success_message""), 0)",Firefox 151.0.1,,,01-07-2026 10:58:43,01-07-2026 10:58:44,0.227s,PASSED
"verifyElementHasAttribute(findTestObject(""WEB/Guest User/Track Your Order/btn_Continue""), ""disabled"", 30)",Firefox 151.0.1,,,01-07-2026 10:58:44,01-07-2026 10:58:44,0.234s,PASSED
Start listener action : afterTestCase,Firefox 151.0.1,,,01-07-2026 10:58:44,01-07-2026 10:58:44,0.356s,PASSED
,,,,,,,
Test Cases/WEB/Guest User/Ensure system displays error message for invalid verification code,Firefox 151.0.1,,,01-07-2026 10:58:46,01-07-2026 10:59:03,16.200s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,01-07-2026 10:58:46,01-07-2026 10:58:50,3.951s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,01-07-2026 10:58:50,01-07-2026 10:58:51,0.366s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,01-07-2026 10:58:51,01-07-2026 10:58:54,3.299s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,01-07-2026 10:58:54,01-07-2026 10:58:54,0.076s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,01-07-2026 10:58:54,01-07-2026 10:58:54,0.020s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,01-07-2026 10:58:54,01-07-2026 10:58:55,0.581s,PASSED
"waitForElementClickable(findTestObject(""WEB/Checkout/Track Order/track your order""), 30)",Firefox 151.0.1,,,01-07-2026 10:58:55,01-07-2026 10:58:55,0.260s,PASSED
"enhancedClick(findTestObject(""WEB/Checkout/Track Order/track your order""))",Firefox 151.0.1,,,01-07-2026 10:58:55,01-07-2026 10:58:55,0.344s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,01-07-2026 10:58:55,01-07-2026 10:58:55,0.008s,PASSED
